Feedback,Ratings,clean_text,dominant_topic,theme_label,predicted_rating,residual,dominant_contributor_topic,dominant_contributor_theme,most_positive_theme,most_negative_theme,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,contrib_1,contrib_2,contrib_3,contrib_4,contrib_5,topic_present_1,topic_present_2,topic_present_3,topic_present_4,topic_present_5,review_theme_for_action,theme_risk_score,theme_priority_rank,effort_estimate,recommendation,kpi_pack,quick_wins,high_effort_fixes,kpi_urgency_score
"Other wise no complaints, fully satisfied.",4.0,wise complaint fully satisfied,2,Overall Service & Facility Cleanliness,3.893463564868216,0.10653643513178412,2,Overall Service & Facility Cleanliness,Overall Service & Facility Cleanliness,Clinical Care & Treatment Quality,0.10075809018993734,0.597472526310757,0.10000147747774976,0.10176636967167549,0.10000153634988049,-0.0022734048332437584,0.007953972259826166,-0.0005167304891712186,0.0020541209568345157,-0.0008550154101175433,0,1,0,0,0,Overall Service & Facility Cleanliness,0.0018635202856314432,3,Quick Win,Strengthen housekeeping SLA and hourly rounding; implement rapid-response cleaning for high-traffic areas.,"[{""kpi"": ""Cleanliness complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Room turnaround time (minutes)"", ""target"": ""< 30""}, {""kpi"": ""Hygiene audit score (%)"", ""target"": ""> 95%""}]",[],[],2.4000000000000004
Thanks to the Emergency doctor abhishek and Thanks to the security guard there,5.0,thanks emergency doctor abhishek thanks security guard,4,Consultation & Positive Patient Experience,4.2188742784731765,0.7811257215268235,4,Consultation & Positive Patient Experience,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.033708867492930325,0.03463362343345699,0.03368990138319698,0.8644115700452508,0.0335560376451648,-0.0007605731920597141,0.00046106702470148815,-0.0001740834201748958,0.017447865410633576,-0.0002869048850281448,0,0,0,1,0,Consultation & Positive Patient Experience,0.006083226390717464,1,Quick Win,Improve communication scripts and consultation transparency; provide discharge instructions and next-steps summary.,"[{""kpi"": ""Communication complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Patient satisfaction (post-visit survey)"", ""target"": ""> 4.2/5""}, {""kpi"": ""Instruction clarity score (%)"", ""target"": ""> 90%""}]",[],[],2.6
They have expert doctors who gives the right medicines and helps the patients recover fast.,5.0,expert doctor give right medicine help patient recover fast,2,Overall Service & Facility Cleanliness,4.027106131664539,0.9728938683354613,1,Clinical Care & Treatment Quality,Overall Service & Facility Cleanliness,Clinical Care & Treatment Quality,0.3889177203878814,0.4050080650313249,0.02241014240686693,0.1612797015106181,0.02238437066330878,-0.00877515069606049,0.0053917507038466,-0.00011579832758844548,0.0032553781357613164,-0.00019138687825704523,1,1,0,0,0,Clinical Care & Treatment Quality,0.005357950627230814,2,High Effort,Standardize clinical pathways; introduce peer review + checklist adherence; increase follow-up quality checks.,"[{""kpi"": ""Clinical complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Follow-up completion rate (%)"", ""target"": ""> 80%""}, {""kpi"": ""Readmission rate (if available)"", ""target"": ""Decrease MoM""}]",[],[],2.2
I really liked the service there!,4.0,really liked service,2,Overall Service & Facility Cleanliness,3.986656769425928,0.013343230574072162,2,Overall Service & Facility Cleanliness,Overall Service & Facility Cleanliness,Clinical Care & Treatment Quality,0.05021551650358917,0.7985302776339168,0.05040973055796029,0.05063737567991424,0.05020709962461951,-0.0011330127209427045,0.010630593704701877,-0.0002604785987887015,0.0010220989008332948,-0.0004292718436461072,0,1,0,0,0,Overall Service & Facility Cleanliness,0.0018635202856314432,3,Quick Win,Strengthen housekeeping SLA and hourly rounding; implement rapid-response cleaning for high-traffic areas.,"[{""kpi"": ""Cleanliness complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Room turnaround time (minutes)"", ""target"": ""< 30""}, {""kpi"": ""Hygiene audit score (%)"", ""target"": ""> 95%""}]",[],[],2.4000000000000004
Hopeless hospital. I don't know how they have got JCI and NABH. They have no value for patients or their attendants time.,2.0,hopeless hospital know got jci nabh value patient attendant time,1,Clinical Care & Treatment Quality,2.702662051335489,-0.7026620513354889,1,Clinical Care & Treatment Quality,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.8845767936438912,0.02874446713696896,0.029214614792466755,0.028726543029288606,0.02873758139738461,-0.019958706583802704,0.0003826664560505995,-0.0001509585915469992,0.0005798358951414355,-0.0002457069745239014,1,0,0,0,0,Clinical Care & Treatment Quality,0.005357950627230814,2,High Effort,Standardize clinical pathways; introduce peer review + checklist adherence; increase follow-up quality checks.,"[{""kpi"": ""Clinical complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Follow-up completion rate (%)"", ""target"": ""> 80%""}, {""kpi"": ""Readmission rate (if available)"", ""target"": ""Decrease MoM""}]",[],[],4.0
Receptionists only want money. They don't care if the doctor is 2 hrs late but give them money.,1.0,receptionist want money care doctor hr late give money,5,Wait Time & Operational Efficiency,2.669962586950281,-1.6699625869502812,5,Wait Time & Operational Efficiency,Consultation & Positive Patient Experience,Wait Time & Operational Efficiency,0.02550428956857943,0.02549483672264119,0.0255137925588037,0.02528740081794919,0.8981996803320265,-0.000575453296746264,0.0003394051025456072,-0.00013183559725362065,0.0005104179320890232,-0.007679627694514433,0,0,0,0,1,Wait Time & Operational Efficiency,0.00080939824976496,4,High Effort,Optimize appointment scheduling and triage workflow; add capacity buffers during peak hours.,"[{""kpi"": ""Avg waiting time (minutes)"", ""target"": ""< 15""}, {""kpi"": ""On-time appointment rate (%)"", ""target"": ""> 85%""}, {""kpi"": ""Patients leaving without being seen (%)"", ""target"": ""< 2%""}]",[],[],3.8
I went for my father. He has tracheostomy n all issues. They made him wait for 1 hour n said wait if you want to or go.,2.0,went father tracheostomy issue made wait hour said wait want,3,Emergency Service Failures,2.4982281672689313,-0.49822816726893127,3,Emergency Service Failures,Consultation & Positive Patient Experience,Emergency Service Failures,0.025298373058506327,0.025048425617079734,0.8988918401393982,0.025015549496513377,0.0257458116885024,-0.000570807202438974,0.0003334621656008089,-0.004644779577087704,0.0005049307018939593,-0.00022012727547140556,0,0,1,0,0,Emergency Service Failures,0.00034844655663559827,5,High Effort,Improve ER staffing and triage; standardize escalation protocols; implement real-time queue visibility.,"[{""kpi"": ""Door-to-provider time (minutes)"", ""target"": ""< 20""}, {""kpi"": ""ER complaint rate per 100 visits"", ""target"": ""< 3""}, {""kpi"": ""Escalations resolved within SLA (%)"", ""target"": ""> 90%""}]",[],[],2.8
"I called them to book an appointment, i requested for a senior doctor and seeked their years of experience, they don't want to share it, transparency is not there. when i called Appolo they give all the detail's,experience and i feel comfortable while choosing Doctor. Fortis,pls have transperency and it is right of a patient.",1.0,called book appointment requested senior doctor seeked year experience want share transparency called appolo give detail experience feel comfortable choosing doctor fortis pls transperency right patient,2,Overall Service & Facility Cleanliness,2.3088424465716466,-1.3088424465716466,2,Overall Service & Facility Cleanliness,Overall Service & Facility Cleanliness,Wait Time & Operational Efficiency,0.013587266170317696,0.6327765266385732,0.013508797223219016,0.013415318998017118,0.32671209096987297,-0.00030656949257315883,0.008423963810738568,-6.980304264826384e-05,0.00027078383541981647,-0.0027933958081765,0,1,0,0,1,Overall Service & Facility Cleanliness,0.0018635202856314432,3,Quick Win,Strengthen housekeeping SLA and hourly rounding; implement rapid-response cleaning for high-traffic areas.,"[{""kpi"": ""Cleanliness complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Room turnaround time (minutes)"", ""target"": ""< 30""}, {""kpi"": ""Hygiene audit score (%)"", ""target"": ""> 95%""}]",[],[],4.2
I was having menopause related issues and went to see a gynecologist. ,5.0,menopause related issue went see gynecologist,3,Emergency Service Failures,3.48666599272754,1.51333400727246,3,Emergency Service Failures,Consultation & Positive Patient Experience,Emergency Service Failures,0.05036760162285741,0.05000112392475983,0.7994287231216629,0.05000065818675142,0.050201893143968515,-0.0011364442175556028,0.000665649942288417,-0.004130830919454081,0.0010092469660486652,-0.00042922732811813066,0,0,1,0,0,Emergency Service Failures,0.00034844655663559827,5,High Effort,Improve ER staffing and triage; standardize escalation protocols; implement real-time queue visibility.,"[{""kpi"": ""Door-to-provider time (minutes)"", ""target"": ""< 20""}, {""kpi"": ""ER complaint rate per 100 visits"", ""target"": ""< 3""}, {""kpi"": ""Escalations resolved within SLA (%)"", ""target"": ""> 90%""}]",[],[],1.0
I really liked the service there!,5.0,really liked service,2,Overall Service & Facility Cleanliness,3.986656769425928,1.0133432305740722,2,Overall Service & Facility Cleanliness,Overall Service & Facility Cleanliness,Clinical Care & Treatment Quality,0.05021551650358917,0.7985302776339168,0.05040973055796029,0.05063737567991424,0.05020709962461951,-0.0011330127209427045,0.010630593704701877,-0.0002604785987887015,0.0010220989008332948,-0.0004292718436461072,0,1,0,0,0,Overall Service & Facility Cleanliness,0.0018635202856314432,3,Quick Win,Strengthen housekeeping SLA and hourly rounding; implement rapid-response cleaning for high-traffic areas.,"[{""kpi"": ""Cleanliness complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Room turnaround time (minutes)"", ""target"": ""< 30""}, {""kpi"": ""Hygiene audit score (%)"", ""target"": ""> 95%""}]",[],[],1.8000000000000003
Thanks to the Emergency doctor abhishek and Thanks to the security guard there,4.0,thanks emergency doctor abhishek thanks security guard,4,Consultation & Positive Patient Experience,4.2188742784731765,-0.21887427847317653,4,Consultation & Positive Patient Experience,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.033708867492930325,0.03463362343345699,0.03368990138319698,0.8644115700452508,0.0335560376451648,-0.0007605731920597141,0.00046106702470148815,-0.0001740834201748958,0.017447865410633576,-0.0002869048850281448,0,0,0,1,0,Consultation & Positive Patient Experience,0.006083226390717464,1,Quick Win,Improve communication scripts and consultation transparency; provide discharge instructions and next-steps summary.,"[{""kpi"": ""Communication complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Patient satisfaction (post-visit survey)"", ""target"": ""> 4.2/5""}, {""kpi"": ""Instruction clarity score (%)"", ""target"": ""> 90%""}]",[],[],3.2
Say hello with folded hands.and Take the patient sitting in the wheel chair ...,5.0,say hello folded hand take patient sitting wheel chair,3,Emergency Service Failures,3.352628563889754,1.6473714361102458,3,Emergency Service Failures,Consultation & Positive Patient Experience,Emergency Service Failures,0.05300456273721826,0.053315876974739024,0.7906947934008683,0.051202395078654095,0.0517823718085203,-0.0011959419723380025,0.000709778253878757,-0.004085700708472774,0.0010335036329831594,-0.0004427404566447344,0,0,1,0,0,Emergency Service Failures,0.00034844655663559827,5,High Effort,Improve ER staffing and triage; standardize escalation protocols; implement real-time queue visibility.,"[{""kpi"": ""Door-to-provider time (minutes)"", ""target"": ""< 20""}, {""kpi"": ""ER complaint rate per 100 visits"", ""target"": ""< 3""}, {""kpi"": ""Escalations resolved within SLA (%)"", ""target"": ""> 90%""}]",[],[],1.0
I noticed the price there is a bit high. But the treatment is very good and the behavior of the doctor is also very good.so I don't think such a hospital is anywhere near HRS Layout.,4.0,noticed price bit high treatment good behavior doctor also good think hospital anywhere near hr layout,3,Emergency Service Failures,3.4623096804075746,0.5376903195924254,3,Emergency Service Failures,Consultation & Positive Patient Experience,Emergency Service Failures,0.02052462764516924,0.02044991408670974,0.806130331365814,0.020854182716401097,0.13204094418590598,-0.0004630971825795503,0.0002722435630068051,-0.004165459660884471,0.0004209348716439318,-0.00112895307578497,0,0,1,0,0,Emergency Service Failures,0.00034844655663559827,5,High Effort,Improve ER staffing and triage; standardize escalation protocols; implement real-time queue visibility.,"[{""kpi"": ""Door-to-provider time (minutes)"", ""target"": ""< 20""}, {""kpi"": ""ER complaint rate per 100 visits"", ""target"": ""< 3""}, {""kpi"": ""Escalations resolved within SLA (%)"", ""target"": ""> 90%""}]",[],[],1.6
"Good experience, polite staff and timely service, well organized and hygienic",5.0,good experience polite staff timely service well organized hygienic,4,Consultation & Positive Patient Experience,4.148257488216082,0.8517425117839181,4,Consultation & Positive Patient Experience,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.02885044354192198,0.028926765025345306,0.02895082605185363,0.8825400967334514,0.030731868647427735,-0.0006509525703175934,0.00038509333307559627,-0.00014959553483611003,0.017813783804960764,-0.000262758175867668,0,0,0,1,0,Consultation & Positive Patient Experience,0.006083226390717464,1,Quick Win,Improve communication scripts and consultation transparency; provide discharge instructions and next-steps summary.,"[{""kpi"": ""Communication complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Patient satisfaction (post-visit survey)"", ""target"": ""> 4.2/5""}, {""kpi"": ""Instruction clarity score (%)"", ""target"": ""> 90%""}]",[],[],2.6
a very nice experience during our stay and Treatment in the Fortis Hospital from 27-7-2023 to 3-8-2023. We felt like staying in our own home. Dr.Rajkumar Deshpande and his team Done the C1& C2 Surgical Spine Replacement under O arm Machine successfully .Doctors and other supporting staff for their wonderful services.,5.0,nice experience stay treatment fortis hospital felt like staying home rajkumar deshpande team done surgical spine replacement arm machine successfully doctor supporting staff wonderful service,3,Emergency Service Failures,4.203306671622836,0.796693328377164,2,Overall Service & Facility Cleanliness,Overall Service & Facility Cleanliness,Emergency Service Failures,0.012923745558818535,0.44436061233308116,0.516801171959062,0.012933661135364571,0.01298080901367381,-0.00029159847672425286,0.005915639344424633,-0.002670429768900993,0.0002610617286679423,-0.00011098621228829829,0,1,1,0,0,Overall Service & Facility Cleanliness,0.0018635202856314432,3,Quick Win,Strengthen housekeeping SLA and hourly rounding; implement rapid-response cleaning for high-traffic areas.,"[{""kpi"": ""Cleanliness complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Room turnaround time (minutes)"", ""target"": ""< 30""}, {""kpi"": ""Hygiene audit score (%)"", ""target"": ""> 95%""}]",[],[],1.8000000000000003
"Highly experienced doctors. Their analysis, interactions and treatment are excellent. ",5.0,highly experienced doctor analysis interaction treatment excellent,3,Emergency Service Failures,4.100874107894188,0.8991258921058121,3,Emergency Service Failures,Consultation & Positive Patient Experience,Emergency Service Failures,0.033705682077366274,0.03468470309240226,0.8634969407592304,0.03416017776826804,0.033952496302733094,-0.0007605013195269424,0.0004617470328565087,-0.0044618860425901805,0.0006895120388923727,-0.00029029461556697773,0,0,1,0,0,Emergency Service Failures,0.00034844655663559827,5,High Effort,Improve ER staffing and triage; standardize escalation protocols; implement real-time queue visibility.,"[{""kpi"": ""Door-to-provider time (minutes)"", ""target"": ""< 20""}, {""kpi"": ""ER complaint rate per 100 visits"", ""target"": ""< 3""}, {""kpi"": ""Escalations resolved within SLA (%)"", ""target"": ""> 90%""}]",[],[],1.0
The rooms are very neat and clean. Very good house keeping. ,4.0,room neat clean good house keeping,4,Consultation & Positive Patient Experience,3.6718451212854606,0.3281548787145394,4,Consultation & Positive Patient Experience,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.03340248342418477,0.0334543871784069,0.03342423936526489,0.8663652725431475,0.03335361748899574,-0.0007536602481819371,0.00044536820668492354,-0.0001727106838119675,0.017487300257894973,-0.00028517418808927567,0,0,0,1,0,Consultation & Positive Patient Experience,0.006083226390717464,1,Quick Win,Improve communication scripts and consultation transparency; provide discharge instructions and next-steps summary.,"[{""kpi"": ""Communication complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Patient satisfaction (post-visit survey)"", ""target"": ""> 4.2/5""}, {""kpi"": ""Instruction clarity score (%)"", ""target"": ""> 90%""}]",[],[],3.2
The staff nurses are down to earth. Their caring and hospitality is highly appreciable. ,5.0,staff nurse earth caring hospitality highly appreciable,4,Consultation & Positive Patient Experience,3.9999358241991123,1.0000641758008877,4,Consultation & Positive Patient Experience,Consultation & Positive Patient Experience,Clinical Care & Treatment Quality,0.03347981860247207,0.03403399945571909,0.03422345381139554,0.8613243786036822,0.036938349526731265,-0.0007554051618436261,0.0004530844108151164,-0.00017684040751323664,0.01738555145899763,-0.00031582372853915697,0,0,0,1,0,Consultation & Positive Patient Experience,0.006083226390717464,1,Quick Win,Improve communication scripts and consultation transparency; provide discharge instructions and next-steps summary.,"[{""kpi"": ""Communication complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Patient satisfaction (post-visit survey)"", ""target"": ""> 4.2/5""}, {""kpi"": ""Instruction clarity score (%)"", ""target"": ""> 90%""}]",[],[],2.6
"Overall, the services from admission till discharge is excellent.",5.0,overall service admission till discharge excellent,2,Overall Service & Facility Cleanliness,3.849663458637089,1.1503365413629112,2,Overall Service & Facility Cleanliness,Overall Service & Facility Cleanliness,Wait Time & Operational Efficiency,0.02871545145682607,0.5058527996473694,0.02893656937669175,0.029281793809013638,0.407213385710099,-0.0006479067438422386,0.006734266361660049,-0.00014952186733722738,0.000591043450904814,-0.0034816837090392337,0,1,0,0,1,Overall Service & Facility Cleanliness,0.0018635202856314432,3,Quick Win,Strengthen housekeeping SLA and hourly rounding; implement rapid-response cleaning for high-traffic areas.,"[{""kpi"": ""Cleanliness complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Room turnaround time (minutes)"", ""target"": ""< 30""}, {""kpi"": ""Hygiene audit score (%)"", ""target"": ""> 95%""}]",[],[],1.8000000000000003
We loved the hospitality of the staff members and doctors. They are so hardworking and put efforts to ensure good health and safety of the patients. Dr. Gayathri is an excellent doctor who also provides you guidance and emotional support,5.0,loved hospitality staff member doctor hardworking put effort ensure good health safety patient gayathri excellent doctor also provides guidance emotional support,2,Overall Service & Facility Cleanliness,4.410083809005,0.5899161909949999,2,Overall Service & Facility Cleanliness,Overall Service & Facility Cleanliness,Clinical Care & Treatment Quality,0.013508709982421645,0.9459413949089054,0.013610402250477516,0.013573691552870214,0.013365801305325182,-0.00030479702927113086,0.012593033626140875,-7.032805904563878e-05,0.00027398053374914395,-0.00011427790513776304,0,1,0,0,0,Overall Service & Facility Cleanliness,0.0018635202856314432,3,Quick Win,Strengthen housekeeping SLA and hourly rounding; implement rapid-response cleaning for high-traffic areas.,"[{""kpi"": ""Cleanliness complaints per 100 visits"", ""target"": ""< 2""}, {""kpi"": ""Room turnaround time (minutes)"", ""target"": ""< 30""}, {""kpi"": ""Hygiene audit score (%)"", ""target"": ""> 95%""}]",[],[],1.8000000000000003
